Datum, Temperatur, Feuchte
2 9 7:59:3 2022,18.50,55.00,
2 9 7:59:8 2022,18.50,55.00,
2 9 7:59:14 2022,18.60,55.00,
2 9 7:59:19 2022,18.80,54.00,
2 9 7:59:24 2022,18.80,54.00,
2 9 7:59:29 2022,18.90,53.00,
2 9 7:59:34 2022,19.00,53.00,
2 9 7:59:39 2022,19.00,53.00,
2 9 7:59:44 2022,19.10,52.00,
2 9 7:59:49 2022,19.20,52.00,
2 9 7:59:54 2022,19.30,51.00,
2 9 7:59:59 2022,19.30,50.00,
2 9 8:0:4 2022,19.30,50.00,
2 9 8:0:9 2022,19.40,50.00,
2 9 8:0:14 2022,19.50,49.00,
2 9 8:0:19 2022,19.50,49.00,
2 9 8:0:24 2022,19.60,49.00,
2 9 8:0:29 2022,19.60,49.00,
2 9 8:0:34 2022,19.70,49.00,
2 9 8:0:39 2022,19.80,49.00,
2 9 8:0:44 2022,19.80,48.00,
2 9 8:0:49 2022,19.90,48.00,
2 9 8:0:54 2022,19.90,47.00,
2 9 8:0:59 2022,20.00,47.00,
2 9 8:1:4 2022,20.10,46.00,
2 9 8:1:10 2022,20.10,46.00,
2 9 8:1:15 2022,20.20,46.00,
2 9 8:1:20 2022,20.20,46.00,
2 9 8:1:25 2022,20.20,45.00,
2 9 8:1:30 2022,20.20,45.00,
2 9 8:1:35 2022,20.30,45.00,
2 9 8:1:40 2022,20.30,45.00,
2 9 8:1:45 2022,20.40,45.00,
2 9 8:1:50 2022,20.40,45.00,
2 9 8:1:55 2022,20.50,45.00,
2 9 8:2:0 2022,20.50,45.00,
2 9 8:2:5 2022,20.60,45.00,
2 9 8:2:10 2022,20.60,45.00,
2 9 8:2:15 2022,20.60,44.00,
2 9 8:2:20 2022,20.70,44.00,
2 9 8:2:25 2022,20.70,44.00,
2 9 8:2:30 2022,20.80,44.00,
2 9 8:2:35 2022,20.80,44.00,
2 9 8:2:40 2022,20.80,44.00,
2 9 8:2:45 2022,20.90,44.00,
2 9 8:2:50 2022,20.90,44.00,
2 9 8:2:55 2022,21.00,44.00,
2 9 8:3:0 2022,21.10,44.00,
2 9 8:3:6 2022,21.10,44.00,
2 9 8:3:11 2022,21.20,44.00,
2 9 8:3:16 2022,21.20,44.00,
2 9 8:3:21 2022,21.20,44.00,
